9780786717316	A Brief History of the Cold War: The Hidden Truth About How Close We Came to Nuclear Conflict	Colonel John Hughes-Wilson	14.95	Paperback	Running Press
9780786717750	Young J. Edgar: Hoover, the Red Scare, and the Assault on Civil Liberties	Kenneth D. Ackerman	28.95	Hardcover	Da Capo Press
9780786717750	Young J. Edgar: Hoover, the Red Scare, and the Assault on Civil Liberties	Kenneth D. Ackerman	28.95	Hardcover	Da Capo Press
9780801487125	Rekindling the Movement: Labor's Quest for Relevance in the 21st Century (Frank W. Pierce Memorial Lectureship and Conference Series)	‘Lowell Turner’, ‘Harry C. Katz’	28.5	Paperback	ILR Press
9780801487125	Rekindling the Movement: Labor's Quest for Relevance in the 21st Century (Frank W. Pierce Memorial Lectureship and Conference Series)	‘Lowell Turner’, ‘Harry C. Katz’	28.5	Paperback	ILR Press
9780801487125	Rekindling the Movement: Labor's Quest for Relevance in the 21st Century (Frank W. Pierce Memorial Lectureship and Conference Series)	‘Lowell Turner’, ‘Harry C. Katz’	28.5	Paperback	ILR Press
9780801487347	Mutual Aid and Union Renewal: Cycles of Logics of Action (ILR Press Books)	'Samuel B. Bacharach', 'Peter A. Bamberger', 'William J. Sonnenstuhl'	28.95	Paperback	ILR Press
9780801487347	Mutual Aid and Union Renewal: Cycles of Logics of Action (ILR Press Books)	'Samuel B. Bacharach', 'Peter A. Bamberger', 'William J. Sonnenstuhl'	28.95	Paperback	ILR Press
9780804830546	The Culture of Counter-Culture (the Edited Transcripts)	Alan Watts	16.95	Hardcover	Tuttle Publishing
9780807014172	One-Dimensional Man: Studies in the Ideology of Advanced Industrial Society, 2nd Edition	Herbert Marcuse	23	Paperback	Beacon Press
9780807023815	Daring Democracy: Igniting Power, Meaning, and Connection for the America We Want	'Frances Moore Lappe', 'Adam Eichen'	15	Paperback	Beacon Press
9780807023815	Daring Democracy: Igniting Power, Meaning, and Connection for the America We Want	'Frances Moore Lappe', 'Adam Eichen'	15	Paperback	Beacon Press
9780807061046	Spare the Kids: Why Whupping Children Won't Save Black America	Stacey Patton	18	Paperback	Beacon Press
9780807084861	Jimmy's Blues and Other Poems	James Baldwin	16	Paperback	Beacon Press
9780807854600	America's Culture of Terrorism: Violence, Capitalism, and the Written Word (Cultural Studies of the United States)	Jeffory A. Clymer	37.5	Paperback	The University of North Carolina Press
9780807854600	America's Culture of Terrorism: Violence, Capitalism, and the Written Word (Cultural Studies of the United States)	Jeffory A. Clymer	37.5	Paperback	The University of North Carolina Press
9780807854600	America's Culture of Terrorism: Violence, Capitalism, and the Written Word (Cultural Studies of the United States)	Jeffory A. Clymer	37.5	Paperback	The University of North Carolina Press
9780812699050	The Ultimate Walking Dead and Philosophy: Hungry for More (Popular Culture and Philosophy)	Wayne Yuen	19.95	Paperback	Open Court
9780813528717	Footnotes: On Shoes	Shari Benstock	24.95	Paperback	Rutgers University Press
9780813529424	Lesbian Empire: Radical Crosswriting in the Twenties	Gay Wachman	24	Paperback	Rutgers University Press
9780813529967	Aftershocks of the New: Feminism and Film History	Patrice Petro	31.95	Paperback	Rutgers University Press
9780813529967	Aftershocks of the New: Feminism and Film History	Patrice Petro	31.95	Paperback	Rutgers University Press
9780813531014	Born to Belonging: Writings on Spirit and Justice	Mab Segrest	34.95	Paperback	Rutgers University Press
9780814792582	The First Sexual Revolution. the Emergence of Male Heterosexuality in Modern America	Kevin White	35.91	Paperback	New York University Press
9780814792582	The First Sexual Revolution. the Emergence of Male Heterosexuality in Modern America	Kevin White	35.91	Paperback	New York University Press
9780814792582	The First Sexual Revolution. the Emergence of Male Heterosexuality in Modern America	Kevin White	35.91	Paperback	New York University Press
9780815411253	A Negro Explorer at the North Pole	Matthew Henson	15.95	Paperback	Cooper Square Press
9780815411253	A Negro Explorer at the North Pole	Matthew Henson	15.95	Paperback	Cooper Square Press
9780815412250	BAT CHAIN PULLER PB	Kurt Loder	5	Paperback	RL
9780815412250	BAT CHAIN PULLER PB	Kurt Loder	5	Paperback	RL
9780816051380	African-American Political Leaders (A to Z of African Americans)	Charles W. Carey	45	Hardcover	Facts on File
9780816676491	Body and Soul: The Black Panther Party and the Fight against Medical Discrimination	Alondra Nelson	18.95	Paperback	Univ Of Minnesota Press
9780816693238	Language, Madness, and Desire: On Literature	Michel Foucault	29.95	Hardcover	Univ Of Minnesota Press
9780817355432	Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, A Colored Man Yet Living. A Slave in Chains, A Sailor on the Deep, and A Sinner at the Cross	Peter Wheeler	29.95	Paperback	University Alabama Press
9780817355432	Chains and Freedom: Or, The Life and Adventures of Peter Wheeler, A Colored Man Yet Living. A Slave in Chains, A Sailor on the Deep, and A Sinner at the Cross	Peter Wheeler	29.95	Paperback	University Alabama Press
9780865718173	I'm Right and You're an Idiot: The Toxic State of Public Discourse and How to Clean it Up	'James Hoggan', 'Grania Litwin'	19.95	Paperback	New Society Publishers
9780865718654	Uprooting Racism - 4th edition: How White People Can Work for Racial Justice	Paul Kivel	24.99	Paperback	New Society Publishers
9780872867383	Have Black Lives Ever Mattered? (City Lights Open Media)	Mumia Abu-Jamal	15.95	Paperback	City Lights Publishers
9780919618985	Toward an Ecological Society	Murray Bookchin	23	Paperback	Black Rose Books
9780965506472	Wake Up and Smell the Dollars! Whose Inner-City Is This Anyway!: One Woman's Struggle Against Sexism, Classism, Racism, Gentrification, and the Empowerment Zone	Dorothy Pitman Hughes	18.95	Paperback	Amber Communications Group, Inc.
9780981750620	Rising Above the Beauty of Life	Dolores M. Miller	6	Paperback	Dolores M. Miller
9780981750637	Beautiful Warrior Prose and Poetry	Dolores M. Miller	6	Paperback	Dolores M. Miller
9780981750637	Beautiful Warrior Prose and Poetry	Dolores M. Miller	6	Paperback	Dolores M. Miller
9780986240096	Joelito's Big Decision: La Gran Decisión de Joelito	Ann Berlak	12.5	Paperback	Hard Ball Press
9780989020794	Smut Peddler Presents: My Monster Boyfriend	C. Spike Trotman	30	Paperback	Iron Circus Comics
9780995660946	The Kronstadt Uprising	Ida Mett	12.5	Paperback	Scholastic
9780995660946	The Kronstadt Uprising	Ida Mett	12.5	Paperback	Scholastic
9780995660946	The Kronstadt Uprising	Ida Mett	12.5	Paperback	Scholastic
9780997044478	the earthquake room	Davey Davis	15	Perfect Paperback	TigerBee Press
9780997044478	the earthquake room	Davey Davis	15	Perfect Paperback	TigerBee Press
9781101964835	Green Earth (Science in the Capital Trilogy)	Kim Stanley Robinson	20	Paperback	Del Rey
9781101971741	Against Everything: Essays	Mark Greif	17	Paperback	Vintage
9781118239247	How to Make a Million Dollars an Hour: Why Hedge Funds Get Away with Siphoning Off America's Wealth	Les Leopold	25.95	Hardcover	Wiley
9781250091208	"The Perils of ""Privilege"": Why Injustice Can't Be Solved by Accusing Others of Advantage"	Phoebe Maltz Bovy	26.99	Hardcover	St. Martin's Press
9781250118134	Listen, Liberal: Or, What Ever Happened to the Party of the People?	Thomas Frank	17	Paperback	Picador
9781302901912	Black Panther: A Nation Under Our Feet Book 3	Ta-Nehisi Coates	16.99	Paperback	Marvel
9781302901912	Black Panther: A Nation Under Our Feet Book 3	Ta-Nehisi Coates	16.99	Paperback	Marvel
9781438457604	Privatizing the Polity	Holona LeAnne Ochs	26.95	Paperback	State University of New York Press
9781474299275	Philosophy for Non-philosophers	Louis Althusser	29.95	Paperback	Bloomsbury Academic
9781510712737	Unspeakable	Chris Hedges	21.99	Hardcover	Hot Books
9781521381472	ASSASSINS AND COMPANY: VOLUME I	LOUIS IEZZONI	15.87	Paperback	Independently published
9781533451514	Radical Herbalism: Feral Herbalists, Free Clinics, & Guerrilla Gardening	Jesse Hardin	29	Paperback	CreateSpace Independent Publishing Platform
9781549761355	ASSASSINS AND COMPANY II: More Tales of the Disaffected	LOUIS IEZZONI	21.79	Paperback	Independently published
9781558611436	The Maimie Papers: Letters from an Ex-Prostitute (The Helen Rose Scheuer Jewish Women's Series)	Maimie Pinzer	19.95	Paperback	The Feminist Press at CUNY
9781568585987	Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)	Ibram X. Kendi	19.99	Paperback	Nation Books
9781573661720	They Dragged Them through the Streets: A Novel	Hilary Plum	17.95	Paperback	Fiction Collective 2
9781591025566	The Humble Little Condom: A History	Aine Collier	18.99	Paperback	Prometheus Books
9781591025566	The Humble Little Condom: A History	Aine Collier	18.99	Paperback	Prometheus Books
9781591025566	The Humble Little Condom: A History	Aine Collier	18.99	Paperback	Prometheus Books
9781593276485	The Smart Girl's Guide to Privacy: Practical Tips for Staying Safe Online	Violet Blue	17.95	Paperback	No Starch Press
9781594634802	Messy: The Power of Disorder to Transform Our Lives	Tim Harford	16	Paperback	Riverhead Books
9781605098821	Collective Visioning: How Groups Can Work Together for a Just and Sustainable Future	Linda Stout	17.95	Paperback	Berrett-Koehler Publishers
9781608194025	Ebony and Ivy: Race, Slavery, and the Troubled History of America's Universities	Craig Steven Wilder	20	Paperback	Bloomsbury Press
9781608467433	When the Welfare People Come: Race and Class in the US Child Protection System	Don Lash	17	Paperback	Haymarket Books
9781608467990	Optimism over Despair: On Capitalism, Empire, and Social Change	'Noam Chomsky', 'C.J. Polychroniou'	16.95	Paperback	Haymarket Books
9781608468584	Why Bad Governments Happen to Good People	Danny Katch	13.95	Paperback	Haymarket Books
9781609807368	Requiem for the American Dream: The 10 Principles of Concentration of Wealth & Power	Noam Chomsky	19.95	Paperback	Seven Stories Press
9781612196190	Trouble in Paradise: From the End of History to the End of Capitalism	Slavoj Zizek	17.99	Paperback	Melville House
9781620970270	Remembering Jim Crow: African Americans Tell About Life in the Segregated South	William Chafe	19.95	Paperback	The New Press
9781620971284	Beasts of Burden: Animal and Disability Liberation	Sunaura Taylor	25.95	Hardcover	The New Press
9781626566743	The New Confessions of an Economic Hit Man	John Perkins	17.95	Paperback	Berrett-Koehler Publishers
9781626567658	The Revolution Where You Live: Stories from a 12,000-Mile Journey Through a New America	Sarah van Gelder	18.95	Paperback	Berrett-Koehler Publishers
9781629633817	Practical Utopia: Strategies for a Desirable Society (KAIROS)	Michael Albert	20	Paperback	PM Press
9781629633817	Practical Utopia: Strategies for a Desirable Society (KAIROS)	Michael Albert	20	Paperback	PM Press
9781629633848	Re:Imagining Change: How to Use Story-Based Strategy to Win Campaigns, Build Movements, and Change the World	'Doyle Canning', 'Patrick Reinsborough'	18.95	Paperback	PM Press
9781629633848	Re:Imagining Change: How to Use Story-Based Strategy to Win Campaigns, Build Movements, and Change the World	'Doyle Canning', 'Patrick Reinsborough'	18.95	Paperback	PM Press
9781629633893	Look for Me in the Whirlwind: From the Panther 21 to 21st-Century Revolutions	'Dhoruba Bin Wahad', 'Jamal Joseph', 'Sekou Odinga'	26.95	Paperback	PM Press
9781629634371	Watermelons, Nooses, and Straight Razors: Stories from the Jim Crow Museum	David Pilgrim	24.95	Paperback	PM Press
